PROCESS_UUID	PROCESS_NAME	FLOW_UUID	FLOW_NAME	UNIT	
83aa70d6-5a8a-3795-a006-5632fb26c8c5	soybean meal; solvent-extracted; region 2; at soybean processing plant	41ebdf26-81c0-30b5-8917-2800c005ba16	soybean meal; solvent-extracted; region 2; at soybean processing plant	kg	
13c8d70d-1e74-33bd-92d5-6311665e43d6	soybean meal; regional mix; NOPA processing; at farm	cbf18e05-0109-31f7-a001-608fca5d7ea8	soybean meal; regional mix; NOPA processing; at farm	kg	
7840fafb-82e1-3865-9783-2486e3ba9261	feed grade dry whey; from cheese production;at dairy plant;dry weight basis	62d49ec3-be49-362c-9f10-2dba1824da30	feed grade dry whey; from cheese production;at dairy plant;dry weight basis	kg	
97970125-ad36-3919-8af8-69a053c5eefa	fishmeal; indirect steam dried press cake; at plant; moisture content 5-10%	d9aa3d3f-4ea2-3d8c-8ae6-4db391beb969	fishmeal; indirect steam dried press cake; at plant; moisture content 5-10%	kg	
d84ded07-b093-3a08-9f90-e768e2a84921	galvanized nails; at manufacturer	b9ddc4d0-fd8e-3954-bea2-f537c30d79ca	galvanized nails; at manufacturer	kg	
a4bc779f-e814-3371-b89e-88737703bc92	aluminum roofing and siding; at manufacturer	2fe06e94-9351-3f9d-a0b0-5880bb82639e	aluminum roofing and siding; at manufacturer	kg	
a626a6b9-3877-36f5-ac98-f5844b6348dd	Fuel grade uranium, at regional storage	64e4081e-3bbf-3576-ad3e-d760aa93c187	Fuel grade uranium, at regional storage	kg	
027d304f-00e4-380e-9bba-4e6bde2d685a	Solid strip and plank flooring, hardwood, E	abb8daef-4e1b-3db7-a8e4-723bbdd497de	Wood fuel, hardwood, from flooring production, E	kg	
2c6df723-416e-3164-a5f1-bb97081fc64f	Wood fuel, hardwood,gen at flooring prod plant, combusted in industrial boiler, E	c32b394d-ee04-332c-a310-7b3f17bbb95d	Wood fuel, hardwood,gen at flooring prod plant, combusted in industrial boiler, E	kg	
3a98c0e1-2ba4-33f1-8d88-35b7f92af534	Wood fuel, softwood, purchased, combusted in industrial boiler, NE-NC	eb188759-a3a8-35f9-8827-bccffc0a68eb	Wood fuel, softwood, purchased, combusted in industrial boiler, NE-NC	kg	
